Filename,State,Governor,Gender,Party,Type of Speech,New Gov?,2020 Contender?,Region,Trifecta Status,Trifecta,Best Transcript URL,Selector,Note,Lesser Transcript URL,New Best Transcript URL
Hawaii_SOTS.txt,Hawaii,David Ige,Male,D,State of the state,No,No,West,D trifecta,Trifecta,https://governor.hawaii.gov/wp-content/uploads/2019/01/2019-State-of-the-State-Address-by-Governor-David-Ige.pdf,,,http://www.hawaiifreepress.com/ArticlesMain/tabid/56/ID/22967/Full-Text-Iges-State-of-the-State-Address.aspx,https://governor.hawaii.gov/wp-content/uploads/2019/01/2019-State-of-the-State-Address-by-Governor-David-Ige.pdf
Idaho_Inaugural.txt,Idaho,Brad Little,Male,R,Inaugural,Yes,No,West,R trifecta,Trifecta,https://gov.idaho.gov/wp-content/uploads/sites/74/2019/01/2019-inaugural.pdf,,,https://www.idahostatesman.com/news/politics-government/state-politics/article223942910.html,
Idaho_SOTS.txt,Idaho,Brad Little,Male,R,State of the state,Yes,No,West,R trifecta,Trifecta,https://gov.idaho.gov/wp-content/uploads/sites/74/2019/01/2019-sos.pdf,,,https://www.idahostatesman.com/news/politics-government/state-politics/article224032430.html,https://gov.idaho.gov/wp-content/uploads/sites/74/2019/01/2019-sos.pdf
Illinois_Both.txt,Illinois,JB Pritzker,Male,D,Both,Yes,No,Midwest,D trifecta,Trifecta,https://www2.illinois.gov/sites/gov/newsroom/Documents/01.14.19InauguralSpeech.pdf,,,https://www.sj-r.com/news/20190114/full-text-gov-jb-pritzkers-inaugural-address,https://www2.illinois.gov/sites/gov/newsroom/Documents/01.14.19InauguralSpeech.pdf
Indiana_SOTS.txt,Indiana,Eric Holcomb,Male,R,State of the state,No,No,Midwest,R trifecta,Trifecta,https://www.in.gov/gov/3027.htm,,,,https://www.in.gov/gov/3027.htm
Iowa_SOTS.txt,Iowa,Kim Reynolds,Female,R,State of the state,No,No,Midwest,R trifecta,Trifecta,https://governor.iowa.gov/2019/01/gov-reynolds-to-deliver-condition-of-the-state-address,,,https://www.desmoinesregister.com/story/news/politics/2019/01/15/iowa-gov-kim-reynolds-full-2019-condition-state-transcript-felons-budget-republican-education-ia/2580202002/,https://governor.iowa.gov/2019/01/gov-reynolds-to-deliver-condition-of-the-state-address
Iowa_Inaugural.txt,Iowa,Kim Reynolds,Female,R,Inaugural,No,No,Midwest,R trifecta,Trifecta,https://governor.iowa.gov/2019/01/gov-reynolds-officially-sworn-in-as-governor,,,https://www.desmoinesregister.com/story/news/politics/2019/01/18/iowa-governor-kim-reynolds-remarks-she-sworn-her-first-fouryear-term-female-women-politics/2614570002/,
Kansas_Inaugural.txt,Kansas,Laura Kelly,Female,D,Inaugural,Yes,No,Midwest,Divided government,Divided,https://governor.kansas.gov/governor-laura-kellys-inaugural-speech/,,,https://www.cjonline.com/news/20190114/did-you-miss-gov-laura-kellys-inaugural-address-heres-full-transcript,
Kansas_SOTS.txt,Kansas,Laura Kelly,Female,D,State of the state,Yes,No,Midwest,Divided government,Divided,https://governor.kansas.gov/governor-laura-kellys-state-of-the-state-address/,,,https://www.cjonline.com/news/20190116/heres-full-transcript-of-gov-laura-kellys-2019-state-of-state-address,https://governor.kansas.gov/governor-laura-kellys-state-of-the-state-address/
Kentucky_SOTS.txt,Kentucky,Matt Bevin,Male,R,State of the state,No,No,South,R trifecta,Trifecta,https://ketorg.cdn.ket.org/wp-content/uploads/2018/01/2018-Bevin-budget-speech.pdf?_ga=2.204846416.1172937214.1550158485-1238189224.1485811080,,,,https://ketorg.cdn.ket.org/wp-content/uploads/2018/01/2018-Bevin-budget-speech.pdf?_ga=2.204846416.1172937214.1550158485-1238189224.1485811080
